State,District,Year,Quarter,Registered_Users,App_Open_Count
Arunachal Pradesh,West Siang,2018,1,846,0
Arunachal Pradesh,Kamle,2018,1,22,0
Arunachal Pradesh,Upper Siang,2018,1,301,0
Arunachal Pradesh,Kurung Kumey,2018,1,97,0
Arunachal Pradesh,Siang,2018,1,192,0
Arunachal Pradesh,Kra Daadi,2018,1,88,0
Arunachal Pradesh,Changlang,2018,1,1208,0
Arunachal Pradesh,Pakke Kessang,2018,1,39,0
Arunachal Pradesh,East Siang,2018,1,1803,0
Arunachal Pradesh,Upper Subansiri,2018,1,572,0
Arunachal Pradesh,Tawang,2018,1,1525,0
Arunachal Pradesh,Namsai,2018,1,737,0
Arunachal Pradesh,Lower Subansiri,2018,2,724,0
Arunachal Pradesh,Tirap,2018,2,856,0
Arunachal Pradesh,Papum Pare,2018,2,11418,0
Arunachal Pradesh,Anjaw,2018,2,410,0
Arunachal Pradesh,Lower Siang,2018,2,494,0
Arunachal Pradesh,Dibang Valley,2018,2,112,0
Arunachal Pradesh,West Kameng,2018,2,3442,0
Arunachal Pradesh,Shi Yomi,2018,2,80,0
Arunachal Pradesh,East Kameng,2018,2,343,0
Arunachal Pradesh,Lohit,2018,2,1898,0
Arunachal Pradesh,Lepa Rada,2018,2,318,0
Arunachal Pradesh,Lower Dibang Valley,2018,2,893,0
Arunachal Pradesh,Longding,2018,2,412,0
Arunachal Pradesh,West Siang,2018,2,1224,0
Arunachal Pradesh,Kamle,2018,2,37,0
Arunachal Pradesh,Upper Siang,2018,2,481,0
Arunachal Pradesh,Kurung Kumey,2018,2,153,0
Arunachal Pradesh,Siang,2018,2,293,0
Arunachal Pradesh,Kra Daadi,2018,2,144,0
Arunachal Pradesh,Changlang,2018,2,2014,0
Arunachal Pradesh,Pakke Kessang,2018,2,66,0
Arunachal Pradesh,East Siang,2018,2,2646,0
Arunachal Pradesh,Upper Subansiri,2018,2,883,0
Arunachal Pradesh,Tawang,2018,2,2266,0
Arunachal Pradesh,Namsai,2018,2,1276,0
Arunachal Pradesh,Lower Subansiri,2018,3,1033,0
Arunachal Pradesh,Tirap,2018,3,1226,0
Arunachal Pradesh,Papum Pare,2018,3,16009,0
Arunachal Pradesh,Anjaw,2018,3,542,0
Arunachal Pradesh,Lower Siang,2018,3,717,0
Arunachal Pradesh,Dibang Valley,2018,3,145,0
Arunachal Pradesh,West Kameng,2018,3,4765,0
Arunachal Pradesh,Shi Yomi,2018,3,118,0
Arunachal Pradesh,East Kameng,2018,3,521,0
Arunachal Pradesh,Lohit,2018,3,2612,0
Arunachal Pradesh,Lepa Rada,2018,3,431,0
Arunachal Pradesh,Lower Dibang Valley,2018,3,1286,0
Arunachal Pradesh,Longding,2018,3,644,0
Arunachal Pradesh,West Siang,2018,3,1652,0
Arunachal Pradesh,Kamle,2018,3,65,0
Arunachal Pradesh,Upper Siang,2018,3,646,0
Arunachal Pradesh,Kurung Kumey,2018,3,222,0
Arunachal Pradesh,Siang,2018,3,373,0
Arunachal Pradesh,Kra Daadi,2018,3,190,0
Arunachal Pradesh,Changlang,2018,3,2889,0
Arunachal Pradesh,Pakke Kessang,2018,3,103,0
Arunachal Pradesh,East Siang,2018,3,3590,0
Arunachal Pradesh,Upper Subansiri,2018,3,1169,0
Arunachal Pradesh,Tawang,2018,3,3112,0
Arunachal Pradesh,Namsai,2018,3,1862,0
Arunachal Pradesh,Lower Subansiri,2018,4,1459,0
Arunachal Pradesh,Tirap,2018,4,1684,0
Arunachal Pradesh,Papum Pare,2018,4,21342,0
Arunachal Pradesh,Anjaw,2018,4,744,0
Arunachal Pradesh,Lower Siang,2018,4,936,0
Arunachal Pradesh,Dibang Valley,2018,4,178,0
Arunachal Pradesh,West Kameng,2018,4,6492,0
Arunachal Pradesh,Shi Yomi,2018,4,144,0
Arunachal Pradesh,East Kameng,2018,4,691,0
Arunachal Pradesh,Lohit,2018,4,3588,0
Arunachal Pradesh,Lepa Rada,2018,4,548,0
Arunachal Pradesh,Lower Dibang Valley,2018,4,1827,0
Arunachal Pradesh,Longding,2018,4,923,0
Arunachal Pradesh,West Siang,2018,4,2117,0
Arunachal Pradesh,Kamle,2018,4,109,0
Arunachal Pradesh,Upper Siang,2018,4,868,0
Arunachal Pradesh,Kurung Kumey,2018,4,321,0
Arunachal Pradesh,Siang,2018,4,483,0
Arunachal Pradesh,Kra Daadi,2018,4,255,0
